"","","A-","A+","B-","B+","C-","C+","D-","D+","A-B-","A+B-","A-B+","A+B+","A-C-","A+C-","B-C-","B+C-","A-C+","A+C+","B-C+","B+C+","A-D-","A+D-","B-D-","B+D-","C-D-","C+D-","A-D+","A+D+","B-D+","B+D+","C-D+","C+D+","A-B-C-","A+B-C-","A-B+C-","A+B+C-","A-B-C+","A+B-C+","A-B+C+","A+B+C+","A-B-D-","A+B-D-","A-B+D-","A+B+D-","A-C-D-","A+C-D-","B-C-D-","B+C-D-","A-C+D-","A+C+D-","B-C+D-","B+C+D-","A-B-D+","A+B-D+","A-B+D+","A+B+D+","A-C-D+","A+C-D+","B-C-D+","B+C-D+","A-C+D+","A+C+D+","B-C+D+","B+C+D+","A-B-C-D-","A+B-C-D-","A-B+C-D-","A+B+C-D-","A-B-C+D-","A+B-C+D-","A-B+C+D-","A+B+C+D-","A-B-C-D+","A+B-C-D+","A-B+C-D+","A+B+C-D+","A-B-C+D+","A+B-C+D+","A-B+C+D+","A+B+C+D+"
"a1",0,-0.00225587590912082,0.00225079838511921,0.00399202126953746,-0.00400802139753882,0.000466557811642417,-0.000466775589443909,0.00263652132112974,-0.00264349094541751,-0.00173614536041636,0.00172534999452012,0.00174704500407302,-0.00174222625729304,-0.000613566518831808,0.000610433895913103,0.000794267200268662,-0.000801285848240466,0.000613762688250243,-0.000611377279924077,-0.00079564110922756,0.000801391620673698,0.0032925999542874,-0.003288598342552,0.000664796236798288,-0.000670583557815742,0.00131381866341806,-0.00131677628024767,-0.0033209945923168,0.00329514303946799,-0.000668761419362688,0.000673680656420195,-0.00132251613593756,0.00132200187563543,-0.00483850919072213,0.00477884523633711,0.00485240289193315,-0.004857309090744,0.00482913383277538,-0.00481217698484328,-0.00485900173767222,0.00484423325651123,6.24628573632581e-05,-6.24639164467988e-05,-6.29186394529012e-05,6.31803825280858e-05,0.000962236950861778,-0.000966991826435756,-0.00268439698706072,0.00271086817601805,-0.000968435207048749,0.000967670012618196,0.00269526373974859,-0.00271923991881424,-6.3385139403225e-05,6.23786396066832e-05,6.34949173176158e-05,-6.31020503090653e-05,-0.000980350820257109,0.00096433116724841,0.00270631927316306,-0.00273181485886972,0.000973425504506754,-0.000967816088071078,-0.00270901741875902,0.00271972078403431,0.00475260337092616,-0.00469232284149828,-0.00469800375266367,0.00481542676368454,-0.00469825106085348,0.00475944627896824,0.00482375511378246,-0.00474420325546248,-0.00480008178687095,0.00469707676446983,0.0048376124949668,-0.00477440404926966,0.00479061337418302,-0.00474092714260015,-0.00476955630507405,0.00477344666903633
"a2",0,-0.000753617231477851,0.000753049720205705,0.000313284254696213,-0.00031338243247881,0.00249023013491272,-0.00249644686534777,-0.000907077937497994,0.000906255892715671,-7.98022701059969e-05,7.96757716735327e-05,7.98459213203385e-05,-7.97320721792242e-05,-0.00243018670347924,0.00242064976932014,0.00264826428863642,-0.00265696293931115,0.00243639982848428,-0.00243866884841679,-0.00266858812037279,0.00266315187455259,0.0028732930082931,-0.00287722806810025,-0.00140820898787133,0.00140710961658903,0.00296648250115647,-0.00299020492758571,-0.00287634458283447,0.0028637831146633,0.0014036828592791,-0.00140653772857822,-0.00296991035730164,0.00297589710493459,-3.12456669121659e-05,3.12068896688416e-05,3.15937684296181e-05,-3.12324053033056e-05,3.15827511153034e-05,-3.15166586018463e-05,-3.12639200239105e-05,3.15404483440274e-05,0.00325524050278431,-0.0032787869367897,-0.00325773270826661,0.00326192766371377,-0.00197295308417087,0.00197958670687995,-0.00329732754668311,0.00331422290769171,0.00199288754927862,-0.00200315903833359,0.00335819487297001,-0.00332621501035185,-0.00326905605516752,0.00323491452095835,0.00326960385484351,-0.00325660468648188,0.00200054554960139,-0.00196857085388404,0.0033082358939435,-0.00333066310677012,-0.00198093262963921,0.00198412392729265,-0.00331602933840343,0.00331642946721987,-0.00172079149739638,0.00174243554847051,0.00174317991388516,-0.00172625134843165,0.00175028323424803,-0.0017650806134621,-0.00174163197949546,0.00175188006500634,0.00174467055429599,-0.00171861721519169,-0.00176070130708847,0.00173761262586154,-0.00175228970215265,0.00173061157195559,0.00172576255418269,-0.00174601020664958
"a3",0,0.00257667751344993,-0.00258333393560385,0.000106660978182321,-0.000106672355960164,-0.000293376363970676,0.000293290319522418,-0.00018001620194422,0.000179983801943807,0.00384199182350696,-0.00387680101475373,-0.00385763413608551,0.00386265180731526,0.00148293101940002,-0.00149282221836842,0.00110629244517209,-0.00110775411031465,-0.00148426170066975,0.00148972344531226,-0.00110686777095379,0.00110587973464096,0.00146254901421463,-0.00147227413412482,0.000419961815423263,-0.000420227915344684,-0.00124808833242569,0.00124580192005281,-0.00146416361719036,0.00146958097356903,-0.000419987003138578,0.000419900238468143,0.00124608415796043,-0.00124690663127376,-0.00444790622587752,0.00453351542433935,0.00450756846881196,-0.00449488094475932,0.00448263205732949,-0.00451269287083921,-0.00449380232129837,0.00448346677629402,-0.00385122691145494,0.00392228254353549,0.00389462099696542,-0.00388644077898484,-0.00597852263659866,0.00602690159191316,0.00073175439390897,-0.000735311594509926,0.0059599243326103,-0.00600857660551679,-0.000732272284431244,0.000730275405036704,0.00387382071492128,-0.00390287929893525,-0.0038917317279836,0.00388000645492524,0.00596103105490597,-0.00601018368685496,-0.000731433567827053,0.000731442530205836,-0.00600825529237719,0.00598564279799734,0.000733298127331835,-0.000732369934467599,0.00542929775328756,-0.00542471076958493,-0.00544384469281265,0.00547099658856973,-0.00535540759148384,0.00551662532625933,0.00541976505531403,-0.00541231692535309,-0.00534837796298421,0.00551125285452379,0.0054290083909876,-0.00542038089392448,0.00545839058870721,-0.00541865087840967,-0.00546898023848433,0.00540251836636474
"a4",0,0.000439903228385296,-0.000440096828404036,0.00207783979496575,-0.00208216620432454,0.00165862372286951,-0.00166137932666619,0.000906255892715671,-0.000907077937497994,-0.000732670546998234,0.000732778459399904,0.000735185038441193,-0.000736373895525767,0.00199973037490005,-0.00200550314572492,1.64853514719572e-05,-1.65543469489679e-05,-0.00201040748245917,0.00200813846591036,-1.65404469724965e-05,1.66091233565162e-05,0.00279193381676816,-0.00280221886185931,-0.000986093025008288,0.000989226220551659,0.000364159890294624,-0.000365504234752597,-0.00280483916130652,0.00279945303246529,0.000986908696331874,-0.000992003852413647,-0.000364953854995648,0.000366033708964076,0.00370509061039557,-0.00373176668446092,-0.00372918152496896,0.00373884079634434,-0.00374655074756095,0.00371531916533353,0.00374233971797971,-0.00375026508454022,0.00276512802650879,-0.00278268109904035,-0.00277077130103407,0.00278917658318876,0.00168500698221879,-0.00171247386036893,0.00219264638375352,-0.00220242464355485,-0.0017083068032285,0.00170274671573382,-0.00220654063337421,0.00220634323672998,-0.00278387027690626,0.00276307553942834,0.00279321292760969,-0.00278781669852524,-0.00170844385544984,0.00169749845179373,-0.00219879185491495,0.00220746288948494,0.00170994763914147,-0.00170479663914958,0.00219964909972242,-0.00221808815032231,-0.00408690187812577,0.00422914187781558,0.00418156447629412,-0.00418749697971985,0.00422663480537367,-0.00415863171651586,-0.00416968652110598,0.00419588204409481,0.00420397884579302,-0.00415158735207907,-0.00419264568118691,0.00417711025351096,-0.00418682634209546,0.0041534404364223,0.00420285242183871,-0.00422585402370739
"a5",0,0.00281603125948146,-0.00282398369110196,0.000439903228385296,-0.000440096828404036,0.00113935069342606,-0.00114065029427066,0.00189819728308027,-0.00190180728959633,-0.00144424325860082,0.00145031130262556,0.00144342917169871,-0.0014536973810079,-0.0029825220013157,0.00299044671838323,-0.00267318538003989,0.00266840254261503,0.00298043057098328,-0.00300627309546228,0.00267213593462753,-0.00268165736377717,-0.00221069832452309,0.00221828410622509,0.00247695514630288,-0.00248529450456034,0.00140589860972423,-0.00141109383736776,0.00221421070464574,-0.00223168958680049,-0.00249257124651823,0.00248856003016314,-0.00141324185346416,0.00141446645848131,0.00108202917065033,-0.00107654245087703,-0.00107211742864333,0.00107684148685478,-0.0010703292514856,0.00108168177052634,0.00107586717139173,-0.00108962812955332,0.000302195689320557,-0.000300920320411432,-0.000302313370675357,0.000304340567607488,0.00402861326299981,-0.0040079860611392,-0.000360098754673176,0.000361167086090631,-0.00402354171398999,0.00405418784090126,0.000360898412036211,-0.000364065344955331,-0.000302732191213757,0.000305707955485523,0.000301402131736142,-0.000304549687147731,-0.00403587972757757,0.00405407924916222,0.000365206464254797,-0.000360873638073786,0.00401131676310799,-0.0040746679017742,-0.000362153236599792,0.000363505975281936,-0.00217419286338738,0.00215408812994923,0.00216207655564988,-0.00217744097628914,0.00216655300442473,-0.00216968482141447,-0.00218174804042244,0.00219415970649973,0.00219250939333362,-0.00219548051085017,-0.00216922351491628,0.00216827965516382,-0.00215752611970136,0.00219569436626142,0.00216013106692823,-0.00220795254387199
"a251",0,-0.0010538884787586,0.00105277896703198,0.000586494645054122,-0.000586838822891018,-0.00137427721983506,0.00137239117361192,0.004270866850646,-0.00428918541842983,-0.00256386245168809,0.00255193100638211,0.00256030436103333,-0.00256146756219837,-5.49145952125561e-05,5.47960242584534e-05,0.00333121198087656,-0.00334627661523793,5.47609669311665e-05,-5.46487146825584e-05,-0.00333316303850088,0.00332598368899222,-0.000287938866007887,0.000287250289565596,0.000435274431161352,-0.000435975333291023,0.00300595602180262,-0.00300673670312801,0.000290330260537036,-0.000289803325160403,-0.000439208393959305,0.000439530875360747,-0.00304097799188157,0.00302345522300026,-0.00202405688316128,0.00201165103452963,0.00203196473122533,-0.00203551619492368,0.00203419867477182,-0.00201738249516296,-0.00201037897667226,0.00201898578384161,0.000972127342007528,-0.000966354443581351,-0.000970925163053757,0.000971507012128337,-0.00466181452136474,0.00465511196879411,-0.00192763934936138,0.00195238597745995,0.00468289997881083,-0.00466453691310571,0.00195478503786585,-0.00193784860990048,-0.000982596234732973,0.000974278770176292,0.000976048495678276,-0.000981382249267933,0.0047341205785358,-0.00471991389756641,0.00196565417658791,-0.00197131058681107,-0.00468568127664082,0.00468539719252158,-0.0019534190332437,0.00194900602273635,-0.000623440670178461,0.000612934507198457,0.000623331990542862,-0.000626405808619843,0.000623398291390526,-0.000627882163149242,-0.000623175515337108,0.000619674275027619,0.00062884964171266,-0.00062936549325949,-0.000631331533786212,0.000632992588316103,-0.000632660447661334,0.000620297322353999,0.000620625745499356,-0.000626975394555586
"a252",0,0.000713079032038329,-0.000713587876612235,0.000573169040571104,-0.000573497751736241,0.000559843258513985,-0.000560156858563269,0.00137239117361192,-0.00137427721983506,0.000565369957526932,-0.000566497637208002,-0.00056633899509001,0.000566826303865117,-0.00159297350147732,0.00159270881235249,-0.000959693986238175,0.000959873353593241,0.00159222084491505,-0.00159703868984508,0.000959847769583743,-0.000961872807757881,0.00156120591454683,-0.0015658812344979,9.23618113824904e-05,-9.24763265291691e-05,-0.00339997770716072,0.00339224778282304,-0.00156795118721951,0.0015677298495597,-9.26244140908252e-05,9.27220910911335e-05,0.0033977609635916,-0.00341317224819689,-0.00207039790142968,0.00206150131795511,0.00206353261172305,-0.00206515578934755,0.00205461383672718,-0.00207405548438226,-0.0020708405576057,0.0020704247958161,-0.00128619053195698,0.0012953794769326,0.00129120681137948,-0.001293772656884,-0.000948786887388526,0.000947710808104048,-0.00193271627025828,0.0019272666432955,0.000938096048930485,-0.000947723274583986,0.00191384344902489,-0.0019243277248896,0.00129586400602768,-0.00129325520633908,-0.00129671271591068,0.00129489531003706,0.000945540414867073,-0.000943292043165612,0.00192096551390858,-0.00192340584490347,-0.000952426206134451,0.000951443828546379,-0.00193686016075323,0.00193812074392254,0.0035667012082098,-0.00352753225249071,-0.00351816600525495,0.00354229112556857,-0.00346662071713008,0.00354551383131728,0.00353209304491985,-0.00353110451577639,-0.00352171931411827,0.00351559917920733,0.00353190474531302,-0.00352790793980055,0.00355407289638196,-0.0035551693505151,-0.00355765119927469,0.00354248053431073
"a253",0,0.00210445075602214,-0.00210888881031473,0.00422439798643618,-0.00424231925813232,0.00057983186500908,-0.000580168265065663,0.000166652779320776,-0.00016668055709894,-0.00229698762908773,0.00230138862006872,0.00231118681495693,-0.00232633312524095,-7.86741762306894e-06,7.90057336694866e-06,0.000315972843126242,-0.000318760601112878,7.87648712010945e-06,-7.90980587873619e-06,-0.00031643962869578,0.000319028825165395,-0.000645758457902392,0.000648065620280479,0.00364325426256519,-0.00368772413902251,0.00163733845697774,-0.00164192882666811,0.000645556803347251,-0.000648702149833117,-0.00365779740801036,0.00367539746147986,-0.00164057094595862,0.00163978337075653,0.000401651418283257,-0.000401905707993265,-0.00040387790567137,0.000407038375888827,-0.000402782237797265,0.000402216802570146,0.00040366414904578,-0.000407683297749575,-0.00121249818307924,0.00121258918769214,0.00122828347587185,-0.0012354396904573,0.00172894707505348,-0.00173696236464833,-0.00209145499986406,0.0021371539985676,-0.00173960638646381,0.00174170600955038,0.00211294644650904,-0.00213408536517023,0.00122235481425497,-0.00122131790021946,-0.00121600428786522,0.00123052570714348,-0.0017359440134468,0.00174249804541649,0.00212537912055086,-0.0021180450441405,0.00172926836039396,-0.00174183918255599,-0.00211118009582827,0.00212327794687704,0.000590137012966512,-0.000593654051123291,-0.000601506022799965,0.000605599632918707,-0.000599195822644137,0.000594258085320062,0.000601771319800861,-0.000606180280281495,-0.000601409408856587,0.000599043490939664,0.00059703759252308,-0.000601828293584619,0.000596087116812949,-0.00059887636424901,-0.000595668826512654,0.00060364696571987
"a254",0,0.00241042592120802,-0.00241625011594639,0.000326613322727839,-0.000326720033844755,0.000899595242835994,-0.000900405243164155,0.00326798764009173,-0.00327870240860587,0.00112217108178494,-0.00112887038216292,-0.0011241663926633,0.00112833399278784,-0.00024804712822406,0.000249185306145092,0.00155658254380189,-0.00156002895162761,0.000248432336819245,-0.000249696520497881,-0.00156182020998535,0.00156040306712926,0.00014459974148912,-0.000145320428798758,0.000198197275876863,-0.000198366135553008,-0.00026852742196087,0.000268938924201908,-0.000145570615266706,0.000146253594135556,-0.000199538746501107,0.000199629307617915,0.000270218355455085,-0.000270778421860803,-0.00276718506166249,0.00278396742239455,0.00278240888960249,-0.00278966918927847,0.00277796553877579,-0.00280059787324537,-0.00277882546713417,0.00278589945514623,-0.00279824209300951,0.00281214745831665,0.00280073541632574,-0.00281555215423257,0.00148551699189301,-0.0014950531956755,0.000545433268999519,-0.000548228158843182,-0.00148929857020628,0.00149501747692451,-0.000548344982434233,0.000546693441776068,0.00281177304600947,-0.00283779826973675,-0.00282564812801342,0.00282523940877494,-0.00149756736316012,0.00150093692302054,-0.000549457294791471,0.00055078899431417,0.00149765145163286,-0.00150791178133762,0.000551940849140289,-0.00055088352889767,0.00127907205142599,-0.00127750574785789,-0.00127467135418274,0.00129659835984421,-0.00128225785322804,0.0012893926991704,0.00128178987730554,-0.00128069255216896,-0.00128341727636248,0.0012934706651152,0.00129492837607469,-0.00128677090512453,0.00128308489476108,-0.00130415776547072,-0.00129152318843674,0.00129201623237883
"a255",0,0.00166527931906125,-0.00166805710069706,0.00453636180116408,-0.00455703419261427,0.00172517769150722,-0.00172815907372931,0.00103945957466238,-0.00104054117524742,0.000535612532439758,-0.000537689362184631,-0.000540796261923625,0.000542308157813042,-0.000607665901202666,0.000609323952350459,0.000210802969920391,-0.000212773685118235,0.000609397053546245,-0.000611805223112439,-0.000211576880168719,0.000213464236362492,-2.83236903153653e-05,2.84174540021776e-05,0.00297418955288998,-0.00301035267833727,-0.000886402254396942,0.000888679501733135,2.83818602088282e-05,-2.8477433941698e-05,-0.00298928227146631,0.00300755749876309,0.000887460424852958,-0.000891322804734526,-0.00240561963109807,0.00241007766660255,0.00242797753910686,-0.00243377218234854,0.00240880007741571,-0.00242565233377125,-0.00243566376227633,0.00244082380071035,-0.00141801486540877,0.00143020923919325,0.00144723322651675,-0.00144421179232703,0.00529813994626007,-0.00533086322816251,-0.00161225607228356,0.00164109641656422,-0.00532233717916019,0.00532441872726596,0.00161922407607852,-0.00163946255447878,0.00143543105973074,-0.00143574245235216,-0.0014353215921091,0.0014447875302727,-0.00532120243279597,0.00531096428082653,0.00162598817906254,-0.00162810607371419,0.00532072968701462,-0.00536740577462565,-0.00163158358247746,0.00163959936424078,0.00393133221615993,-0.00397855607603376,-0.00399702998065308,0.00404122237688313,-0.00396088052093396,0.00397009636768724,0.0040464629179292,-0.00399702998065308,-0.00400836852958042,0.00395604516042352,0.00399636664230752,-0.00399106566160745,0.00396946507488366,-0.0040355843343716,-0.00399212941276269,0.00403882499598932
