"","","A-","A+","B-","B+","C-","C+","D-","D+","A-B-","A+B-","A-B+","A+B+","A-C-","A+C-","B-C-","B+C-","A-C+","A+C+","B-C+","B+C+","A-D-","A+D-","B-D-","B+D-","C-D-","C+D-","A-D+","A+D+","B-D+","B+D+","C-D+","C+D+","A-B-C-","A+B-C-","A-B+C-","A+B+C-","A-B-C+","A+B-C+","A-B+C+","A+B+C+","A-B-D-","A+B-D-","A-B+D-","A+B+D-","A-C-D-","A+C-D-","B-C-D-","B+C-D-","A-C+D-","A+C+D-","B-C+D-","B+C+D-","A-B-D+","A+B-D+","A-B+D+","A+B+D+","A-C-D+","A+C-D+","B-C-D+","B+C-D+","A-C+D+","A+C+D+","B-C+D+","B+C+D+","A-B-C-D-","A+B-C-D-","A-B+C-D-","A+B+C-D-","A-B-C+D-","A+B-C+D-","A-B+C+D-","A+B+C+D-","A-B-C-D+","A+B-C-D+","A-B+C-D+","A+B+C-D+","A-B-C+D+","A+B-C+D+","A-B+C+D+","A+B+C+D+"
"a1",3e+05,149662,150338,150600,149400,150070,149930,150396,149604,75000,75600,74662,74738,74820,75250,75395,74675,74842,75088,75205,74725,75276,75120,75549,74847,75332,75064,74386,75218,75051,74553,74738,74866,37373,38022,37447,37228,37627,37578,37215,37510,37776,37773,37500,37347,37777,37555,37800,37532,37499,37565,37749,37315,37224,37827,37162,37391,37043,37695,37595,37143,37343,37523,37456,37410,18824,18976,18953,18579,18952,18797,18547,18768,18549,19046,18494,18649,18675,18781,18668,18742
"a2",3e+05,149887,150113,150047,149953,150374,149626,149864,150136,74961,75086,74926,75027,74948,75426,75410,74964,74939,74687,74637,74989,75091,74773,74850,75014,75342,74522,74796,75340,75197,74939,75032,75104,37681,37729,37267,37697,37280,37357,37659,37330,37621,37229,37470,37544,37697,37645,37705,37637,37394,37128,37145,37377,37340,37857,37456,37483,37251,37781,37705,37327,37545,37559,37492,37612,18954,18751,18743,18894,18667,18478,18727,18650,18727,18978,18524,18803,18613,18879,18932,18680
"a3",3e+05,150387,149613,150016,149984,149956,150044,149973,150027,75491,74525,74896,75088,75283,74673,75069,74887,75104,74940,74947,75097,75290,74683,75026,74947,74871,75102,75097,74930,74990,75037,75085,74942,37808,37261,37475,37412,37683,37264,37421,37676,37783,37243,37507,37440,37474,37397,37540,37331,37816,37286,37486,37616,37708,37282,37389,37648,37809,37276,37529,37556,37288,37654,37461,37481,18813,18727,18661,18670,18970,18516,18846,18770,18995,18534,18814,18742,18713,18748,18575,18906
"a4",3e+05,150066,149934,150312,149688,150249,149751,150136,149864,75134,75178,74932,74756,75308,74941,75282,74967,74758,74993,75030,74721,75311,74825,75150,74986,75220,74916,74755,75109,75162,74702,75029,74835,37846,37436,37462,37505,37288,37742,37470,37251,37746,37404,37565,37421,37946,37274,37735,37485,37365,37551,37415,37501,37388,37774,37367,37335,37362,37667,37547,37482,37393,37442,37615,37220,19151,18584,18795,18690,18595,18820,18770,18731,18695,18852,18667,18815,18693,18922,18700,18520
"a5",3e+05,150423,149577,150066,149934,150171,149829,150285,149715,75136,74930,75287,74647,75073,75098,74918,75253,75350,74479,75148,74681,75188,75097,75362,74923,75334,74951,75235,74480,74704,75011,74837,74878,37384,37534,37689,37564,37752,37396,37598,37083,37607,37755,37581,37342,37646,37688,37716,37618,37542,37409,37646,37305,37529,37175,37706,37305,37427,37410,37202,37635,37808,37070,37502,37376,18750,18966,18896,18722,18857,18789,18685,18620,18634,18568,18793,18842,18895,18607,18913,18463
"a251",3e+05,149842,150158,150088,149912,149794,150206,150642,149358,74773,75315,75069,74843,74814,74980,75191,74603,75028,75178,74897,75309,75220,75422,75398,75244,75444,75198,74622,74736,74690,74668,74350,75008,37442,37749,37372,37231,37331,37566,37697,37612,37605,37793,37615,37629,37607,37837,37926,37518,37613,37585,37472,37726,37168,37522,37454,37214,37207,37143,37265,37085,37415,37593,37425,37583,18796,19130,18811,18707,18809,18663,18804,18922,18646,18619,18561,18524,18522,18903,18893,18690
"a252",3e+05,150107,149893,150086,149914,150084,149916,150206,149794,75139,74947,74968,74946,74976,75108,75013,75071,75131,74785,75073,74843,75274,74932,75153,75053,74890,75316,74833,74961,74933,74861,75194,74600,37387,37626,37589,37482,37752,37321,37379,37464,37686,37467,37588,37465,37406,37484,37356,37534,37868,37448,37797,37519,37453,37480,37380,37481,37570,37624,37657,37537,37263,37337,37276,37324,18608,18748,18798,18736,19078,18719,18790,18729,18779,18878,18791,18746,18674,18602,18589,18735
"a253",3e+05,150316,149684,150635,149365,150087,149913,150025,149975,75303,75332,75013,74352,75201,74886,75385,74702,75115,74798,75250,74663,75122,74903,75605,74420,75179,74846,75194,74781,75030,74945,74908,75067,37712,37673,37489,37213,37591,37659,37524,37139,37781,37824,37341,37079,37709,37470,37956,37223,37413,37433,37649,37197,37522,37508,37672,37273,37492,37416,37429,37479,37702,37365,37601,37466,19040,18916,18669,18554,18741,18908,18672,18525,18672,18757,18820,18659,18850,18751,18852,18614
"a254",3e+05,150362,149638,150049,149951,150135,149865,150491,149509,75290,74759,75072,74879,75230,74905,75209,74926,75132,74733,74840,75025,75438,75053,75285,75206,75293,75198,74924,74585,74764,74745,74842,74667,37666,37543,37564,37362,37624,37216,37508,37517,37683,37602,37755,37451,37795,37498,37753,37540,37643,37555,37532,37666,37607,37157,37317,37428,37435,37407,37456,37386,37489,37178,37308,37359,18877,18876,18918,18622,18806,18726,18837,18829,18789,18667,18646,18740,18818,18490,18671,18688
"a255",3e+05,150250,149750,150682,149318,150259,149741,150156,149844,75507,75175,74743,74575,75209,75050,75487,74772,75041,74700,75195,74546,75201,74955,75644,74512,75141,75015,75049,74795,75038,74806,75118,74726,37733,37754,37476,37296,37774,37421,37267,37279,37957,37687,37244,37268,37786,37355,37873,37268,37415,37600,37771,37244,37550,37488,37499,37307,37423,37695,37614,37504,37626,37100,37424,37302,19087,18786,18699,18569,18870,18901,18545,18699,18646,18968,18777,18727,18904,18520,18722,18580
