"","","A-","A+","B-","B+","C-","C+","D-","D+","A-B-","A+B-","A-B+","A+B+","A-C-","A+C-","B-C-","B+C-","A-C+","A+C+","B-C+","B+C+","A-D-","A+D-","B-D-","B+D-","C-D-","C+D-","A-D+","A+D+","B-D+","B+D+","C-D+","C+D+","A-B-C-","A+B-C-","A-B+C-","A+B+C-","A-B-C+","A+B-C+","A-B+C+","A+B+C+","A-B-D-","A+B-D-","A-B+D-","A+B+D-","A-C-D-","A+C-D-","B-C-D-","B+C-D-","A-C+D-","A+C+D-","B-C+D-","B+C+D-","A-B-D+","A+B-D+","A-B+D+","A+B+D+","A-C-D+","A+C-D+","B-C-D+","B+C-D+","A-C+D+","A+C+D+","B-C+D+","B+C+D+","A-B-C-D-","A+B-C-D-","A-B+C-D-","A+B+C-D-","A-B-C+D-","A+B-C+D-","A-B+C+D-","A+B+C+D-","A-B-C-D+","A+B-C-D+","A-B+C-D+","A+B+C-D+","A-B-C+D+","A+B-C+D+","A-B+C+D+","A+B+C+D+"
"a1",1,0.498873333333333,0.501126666666667,0.502,0.498,0.500233333333333,0.499766666666667,0.50132,0.49868,0.25,0.252,0.248873333333333,0.249126666666667,0.2494,0.250833333333333,0.251316666666667,0.248916666666667,0.249473333333333,0.250293333333333,0.250683333333333,0.249083333333333,0.25092,0.2504,0.25183,0.24949,0.251106666666667,0.250213333333333,0.247953333333333,0.250726666666667,0.25017,0.24851,0.249126666666667,0.249553333333333,0.124576666666667,0.12674,0.124823333333333,0.124093333333333,0.125423333333333,0.12526,0.12405,0.125033333333333,0.12592,0.12591,0.125,0.12449,0.125923333333333,0.125183333333333,0.126,0.125106666666667,0.124996666666667,0.125216666666667,0.12583,0.124383333333333,0.12408,0.12609,0.123873333333333,0.124636666666667,0.123476666666667,0.12565,0.125316666666667,0.12381,0.124476666666667,0.125076666666667,0.124853333333333,0.1247,0.0627466666666667,0.0632533333333333,0.0631766666666667,0.06193,0.0631733333333333,0.0626566666666667,0.0618233333333333,0.06256,0.06183,0.0634866666666667,0.0616466666666667,0.0621633333333333,0.06225,0.0626033333333333,0.0622266666666667,0.0624733333333333
"a2",1,0.499623333333333,0.500376666666667,0.500156666666667,0.499843333333333,0.501246666666667,0.498753333333333,0.499546666666667,0.500453333333333,0.24987,0.250286666666667,0.249753333333333,0.25009,0.249826666666667,0.25142,0.251366666666667,0.24988,0.249796666666667,0.248956666666667,0.24879,0.249963333333333,0.250303333333333,0.249243333333333,0.2495,0.250046666666667,0.25114,0.248406666666667,0.24932,0.251133333333333,0.250656666666667,0.249796666666667,0.250106666666667,0.250346666666667,0.125603333333333,0.125763333333333,0.124223333333333,0.125656666666667,0.124266666666667,0.124523333333333,0.12553,0.124433333333333,0.125403333333333,0.124096666666667,0.1249,0.125146666666667,0.125656666666667,0.125483333333333,0.125683333333333,0.125456666666667,0.124646666666667,0.12376,0.123816666666667,0.12459,0.124466666666667,0.12619,0.124853333333333,0.124943333333333,0.12417,0.125936666666667,0.125683333333333,0.124423333333333,0.12515,0.125196666666667,0.124973333333333,0.125373333333333,0.06318,0.0625033333333333,0.0624766666666667,0.06298,0.0622233333333333,0.0615933333333333,0.0624233333333333,0.0621666666666667,0.0624233333333333,0.06326,0.0617466666666667,0.0626766666666667,0.0620433333333333,0.06293,0.0631066666666667,0.0622666666666667
"a3",1,0.50129,0.49871,0.500053333333333,0.499946666666667,0.499853333333333,0.500146666666667,0.49991,0.50009,0.251636666666667,0.248416666666667,0.249653333333333,0.250293333333333,0.250943333333333,0.24891,0.25023,0.249623333333333,0.250346666666667,0.2498,0.249823333333333,0.250323333333333,0.250966666666667,0.248943333333333,0.250086666666667,0.249823333333333,0.24957,0.25034,0.250323333333333,0.249766666666667,0.249966666666667,0.250123333333333,0.250283333333333,0.249806666666667,0.126026666666667,0.124203333333333,0.124916666666667,0.124706666666667,0.12561,0.124213333333333,0.124736666666667,0.125586666666667,0.125943333333333,0.124143333333333,0.125023333333333,0.1248,0.124913333333333,0.124656666666667,0.125133333333333,0.124436666666667,0.126053333333333,0.124286666666667,0.124953333333333,0.125386666666667,0.125693333333333,0.124273333333333,0.12463,0.125493333333333,0.12603,0.124253333333333,0.125096666666667,0.125186666666667,0.124293333333333,0.125513333333333,0.12487,0.124936666666667,0.06271,0.0624233333333333,0.0622033333333333,0.0622333333333333,0.0632333333333333,0.06172,0.06282,0.0625666666666667,0.0633166666666667,0.06178,0.0627133333333333,0.0624733333333333,0.0623766666666667,0.0624933333333333,0.0619166666666667,0.06302
"a4",1,0.50022,0.49978,0.50104,0.49896,0.50083,0.49917,0.500453333333333,0.499546666666667,0.250446666666667,0.250593333333333,0.249773333333333,0.249186666666667,0.251026666666667,0.249803333333333,0.25094,0.24989,0.249193333333333,0.249976666666667,0.2501,0.24907,0.251036666666667,0.249416666666667,0.2505,0.249953333333333,0.250733333333333,0.24972,0.249183333333333,0.250363333333333,0.25054,0.249006666666667,0.250096666666667,0.24945,0.126153333333333,0.124786666666667,0.124873333333333,0.125016666666667,0.124293333333333,0.125806666666667,0.1249,0.12417,0.12582,0.12468,0.125216666666667,0.124736666666667,0.126486666666667,0.124246666666667,0.125783333333333,0.12495,0.12455,0.12517,0.124716666666667,0.125003333333333,0.124626666666667,0.125913333333333,0.124556666666667,0.12445,0.12454,0.125556666666667,0.125156666666667,0.12494,0.124643333333333,0.124806666666667,0.125383333333333,0.124066666666667,0.0638366666666667,0.0619466666666667,0.06265,0.0623,0.0619833333333333,0.0627333333333333,0.0625666666666667,0.0624366666666667,0.0623166666666667,0.06284,0.0622233333333333,0.0627166666666667,0.06231,0.0630733333333333,0.0623333333333333,0.0617333333333333
"a5",1,0.50141,0.49859,0.50022,0.49978,0.50057,0.49943,0.50095,0.49905,0.250453333333333,0.249766666666667,0.250956666666667,0.248823333333333,0.250243333333333,0.250326666666667,0.249726666666667,0.250843333333333,0.251166666666667,0.248263333333333,0.250493333333333,0.248936666666667,0.250626666666667,0.250323333333333,0.251206666666667,0.249743333333333,0.251113333333333,0.249836666666667,0.250783333333333,0.248266666666667,0.249013333333333,0.250036666666667,0.249456666666667,0.249593333333333,0.124613333333333,0.125113333333333,0.12563,0.125213333333333,0.12584,0.124653333333333,0.125326666666667,0.12361,0.125356666666667,0.12585,0.12527,0.124473333333333,0.125486666666667,0.125626666666667,0.12572,0.125393333333333,0.12514,0.124696666666667,0.125486666666667,0.12435,0.125096666666667,0.123916666666667,0.125686666666667,0.12435,0.124756666666667,0.1247,0.124006666666667,0.12545,0.126026666666667,0.123566666666667,0.125006666666667,0.124586666666667,0.0625,0.06322,0.0629866666666667,0.0624066666666667,0.0628566666666667,0.06263,0.0622833333333333,0.0620666666666667,0.0621133333333333,0.0618933333333333,0.0626433333333333,0.0628066666666667,0.0629833333333333,0.0620233333333333,0.0630433333333333,0.0615433333333333
"a251",1,0.499473333333333,0.500526666666667,0.500293333333333,0.499706666666667,0.499313333333333,0.500686666666667,0.50214,0.49786,0.249243333333333,0.25105,0.25023,0.249476666666667,0.24938,0.249933333333333,0.250636666666667,0.248676666666667,0.250093333333333,0.250593333333333,0.249656666666667,0.25103,0.250733333333333,0.251406666666667,0.251326666666667,0.250813333333333,0.25148,0.25066,0.24874,0.24912,0.248966666666667,0.248893333333333,0.247833333333333,0.250026666666667,0.124806666666667,0.12583,0.124573333333333,0.124103333333333,0.124436666666667,0.12522,0.125656666666667,0.125373333333333,0.12535,0.125976666666667,0.125383333333333,0.12543,0.125356666666667,0.126123333333333,0.12642,0.12506,0.125376666666667,0.125283333333333,0.124906666666667,0.125753333333333,0.123893333333333,0.125073333333333,0.124846666666667,0.124046666666667,0.124023333333333,0.12381,0.124216666666667,0.123616666666667,0.124716666666667,0.12531,0.12475,0.125276666666667,0.0626533333333333,0.0637666666666667,0.0627033333333333,0.0623566666666667,0.0626966666666667,0.06221,0.06268,0.0630733333333333,0.0621533333333333,0.0620633333333333,0.06187,0.0617466666666667,0.06174,0.06301,0.0629766666666667,0.0623
"a252",1,0.500356666666667,0.499643333333333,0.500286666666667,0.499713333333333,0.50028,0.49972,0.500686666666667,0.499313333333333,0.250463333333333,0.249823333333333,0.249893333333333,0.24982,0.24992,0.25036,0.250043333333333,0.250236666666667,0.250436666666667,0.249283333333333,0.250243333333333,0.249476666666667,0.250913333333333,0.249773333333333,0.25051,0.250176666666667,0.249633333333333,0.251053333333333,0.249443333333333,0.24987,0.249776666666667,0.249536666666667,0.250646666666667,0.248666666666667,0.124623333333333,0.12542,0.125296666666667,0.12494,0.12584,0.124403333333333,0.124596666666667,0.12488,0.12562,0.12489,0.125293333333333,0.124883333333333,0.124686666666667,0.124946666666667,0.12452,0.125113333333333,0.126226666666667,0.124826666666667,0.12599,0.125063333333333,0.124843333333333,0.124933333333333,0.1246,0.124936666666667,0.125233333333333,0.125413333333333,0.125523333333333,0.125123333333333,0.12421,0.124456666666667,0.124253333333333,0.124413333333333,0.0620266666666667,0.0624933333333333,0.06266,0.0624533333333333,0.0635933333333333,0.0623966666666667,0.0626333333333333,0.06243,0.0625966666666667,0.0629266666666667,0.0626366666666667,0.0624866666666667,0.0622466666666667,0.0620066666666667,0.0619633333333333,0.06245
"a253",1,0.501053333333333,0.498946666666667,0.502116666666667,0.497883333333333,0.50029,0.49971,0.500083333333333,0.499916666666667,0.25101,0.251106666666667,0.250043333333333,0.24784,0.25067,0.24962,0.251283333333333,0.249006666666667,0.250383333333333,0.249326666666667,0.250833333333333,0.248876666666667,0.250406666666667,0.249676666666667,0.252016666666667,0.248066666666667,0.250596666666667,0.249486666666667,0.250646666666667,0.24927,0.2501,0.249816666666667,0.249693333333333,0.250223333333333,0.125706666666667,0.125576666666667,0.124963333333333,0.124043333333333,0.125303333333333,0.12553,0.12508,0.123796666666667,0.125936666666667,0.12608,0.12447,0.123596666666667,0.125696666666667,0.1249,0.12652,0.124076666666667,0.12471,0.124776666666667,0.125496666666667,0.12399,0.125073333333333,0.125026666666667,0.125573333333333,0.124243333333333,0.124973333333333,0.12472,0.124763333333333,0.12493,0.125673333333333,0.12455,0.125336666666667,0.124886666666667,0.0634666666666667,0.0630533333333333,0.06223,0.0618466666666667,0.06247,0.0630266666666667,0.06224,0.06175,0.06224,0.0625233333333333,0.0627333333333333,0.0621966666666667,0.0628333333333333,0.0625033333333333,0.06284,0.0620466666666667
"a254",1,0.501206666666667,0.498793333333333,0.500163333333333,0.499836666666667,0.50045,0.49955,0.501636666666667,0.498363333333333,0.250966666666667,0.249196666666667,0.25024,0.249596666666667,0.250766666666667,0.249683333333333,0.250696666666667,0.249753333333333,0.25044,0.24911,0.249466666666667,0.250083333333333,0.25146,0.250176666666667,0.25095,0.250686666666667,0.250976666666667,0.25066,0.249746666666667,0.248616666666667,0.249213333333333,0.24915,0.249473333333333,0.24889,0.125553333333333,0.125143333333333,0.125213333333333,0.12454,0.125413333333333,0.124053333333333,0.125026666666667,0.125056666666667,0.12561,0.12534,0.12585,0.124836666666667,0.125983333333333,0.124993333333333,0.125843333333333,0.125133333333333,0.125476666666667,0.125183333333333,0.125106666666667,0.125553333333333,0.125356666666667,0.123856666666667,0.12439,0.12476,0.124783333333333,0.12469,0.124853333333333,0.12462,0.124963333333333,0.123926666666667,0.12436,0.12453,0.0629233333333333,0.06292,0.06306,0.0620733333333333,0.0626866666666667,0.06242,0.06279,0.0627633333333333,0.06263,0.0622233333333333,0.0621533333333333,0.0624666666666667,0.0627266666666667,0.0616333333333333,0.0622366666666667,0.0622933333333333
"a255",1,0.500833333333333,0.499166666666667,0.502273333333333,0.497726666666667,0.500863333333333,0.499136666666667,0.50052,0.49948,0.25169,0.250583333333333,0.249143333333333,0.248583333333333,0.250696666666667,0.250166666666667,0.251623333333333,0.24924,0.250136666666667,0.249,0.25065,0.248486666666667,0.25067,0.24985,0.252146666666667,0.248373333333333,0.25047,0.25005,0.250163333333333,0.249316666666667,0.250126666666667,0.249353333333333,0.250393333333333,0.249086666666667,0.125776666666667,0.125846666666667,0.12492,0.12432,0.125913333333333,0.124736666666667,0.124223333333333,0.124263333333333,0.126523333333333,0.125623333333333,0.124146666666667,0.124226666666667,0.125953333333333,0.124516666666667,0.126243333333333,0.124226666666667,0.124716666666667,0.125333333333333,0.125903333333333,0.124146666666667,0.125166666666667,0.12496,0.124996666666667,0.124356666666667,0.124743333333333,0.12565,0.12538,0.125013333333333,0.12542,0.123666666666667,0.124746666666667,0.12434,0.0636233333333333,0.06262,0.06233,0.0618966666666667,0.0629,0.0630033333333333,0.0618166666666667,0.06233,0.0621533333333333,0.0632266666666667,0.06259,0.0624233333333333,0.0630133333333333,0.0617333333333333,0.0624066666666667,0.0619333333333333
